MDM2	TP53
VASP	EVL
RPL38	RPS28
RPL21	RPS18
TAF9	TBP
SNRNP40	CDC5L
CUL1	CAND1
RBM8A	UPF1
RPL39	RPL13A
EXOC7	EXOC5
NDC80	BUB1
UPF2	RNPS1
RPL32	RPS15
PRKAG1	PRKAA1
RPL21	RPS4X
RPL37	RPL14
RPL39	RPL7A
SRP14	SRP54
RPL35	RPS27
RPTOR	MLST8
ARPC3	ARPC5L
NDUFA12	NDUFAB1
RPL5	RPL35A
SRP68	SRP54
RPS11	RPLP1
MPP5	INADL
RPS7	RPL10
RPS12	RPS19
RPL29	RPS5
RPS21	RPL29
RPS6	RPS19
ATP6V1B1	ATP6V1E2
TNFRSF11B	TNFSF11
RPL22	RPL32
RPL8	RPL34
PSMA4	PSMC1
AIMP2	AIMP1
RPLP2	RPS14
PEX10	PEX2
RPS27	RPL26
ABI1	WASF2
SF3B3	SNRPD2
CDC6	ORC1
RPL13A	RPS14
UQCRH	CYC1
RPLP0	RPS28
SKIV2L2	EXOSC10
RPL7	RPL32
DCTN5	ACTR1A
MED15	MED18
LMAN1	MCFD2
MYD88	TRAF6
PSMA3	PSMC1
NDUFA9	NDUFAB1
RPL39	RPL24
RPL8	RPS24
CD80	CTLA4
RPS7	RPS24
PEX3	PEX19
RPL7	RPL29
SEC61B	SEC61G
RPL5	RPS25
SLU7	PRPF8
GTF2B	GTF2F1
RPL4	RPLP1
RPL35	RPLP2
RPL13A	RPL23
PSMC4	PSMA2
SNAP29	STX17
ABI1	CYFIP2
DIS3L	EXOSC2
NDUFS7	NDUFS6
RPL18A	RPS25
RPS15A	RPL39
RPL14	RPL10
MAP3K7	TRAF6
RPL11	RPL36A
RPL34	RPL26L1
ERCC3	GTF2H2
RPL22	RPL29
FANCC	STRA13
TNNC1	TNNI2
APITD1	STRA13
PSMC2	PSMB3
C1D	EXOSC9
RPL37	RPLP2
PRPF6	NHP2L1
RPS7	RPS14
TAB2	MAP3K7
ASUN	INTS5
IRAK4	MYD88
RPL8	RPSA
SKIV2L2	EXOSC9
SNRPD3	SNRNP70
RPS17	RPS3A
GTF2B	TCEA1
ARPC2	ARPC5L
RPA1	TIMELESS
HNRNPM	SRSF2
MCM6	ORC4
RPS29	RPL18
PSMC1	PSMB8
RPL37	RPL23A
FBL	NHP2L1
RPL23	RPS19
RPLP1	RPL29
PIGU	PIGK
RPL9	RPS28
CDC5L	CRNKL1
RPL27A	RPS4X
RPS23	RPS7
UBE2M	DCUN1D1
RPS4X	RPL32
RPL7	RPS21
SUPT16H	RTF1
UTP3	BMS1
RPL37	RPS17
CDC6	CDT1
RPL35	RPL10
RPL27A	RPS27
RPL12	RPL23
RPL37	RPL10A
RPS18	RPL23
POLR3C	POLR3H
RPS14	RPL23
RPL37	RPL22
RPS4X	RPL14
RPL35	RPL22
RPA2	TIMELESS
POLR2G	INTS5
RPL22	RPS19
MIOS	SEH1L
RPL35	RPL38
POLR2D	INTS5
HSP90B1	CALR
RBM22	CDC5L
VPS36	SNF8
ATP5F1	ATP5A1
RPS7	RPS19
PHF5A	LSM5
USE1	STX18
HSP90AA1	HSPA8
RPL27A	RPS3A
ACTR5	NFRKB
ERCC2	GTF2H3
PTCD3	MRPS9
MRPL40	MRPS16
NOP58	TBL3
PSMC1	PSMB9
EXOC6B	EXOC7
PFAS	GART
RPS29	RPS28
NDUFB3	NDUFA9
SRP14	SRP68
SEC13	SEC31A
ORC1	MCM3
ANAPC1	CDC16
TYMS	DHFR
MAD2L1	CDC20
CDC5L	CWC15
NDUFS6	NDUFA12
CHMP3	CHMP1B
RPS18	RPL10
INTS5	NABP2
RPL5	RPL31
RPS6	RPL36A
PRPF6	CD2BP2
MCM7	ORC1
RPS14	RPL36
PSMA6	PSMC6
RPL35A	RPS19
RPL32	RPL26
PSMB5	PSMC3
RPL34	RPLP0
RPL5	RPS28
RPL8	RPS19
PCF11	CPSF2
TAF7	TAF1
RPLP1	RPS10
PSMA3	PSMD6
RPL3L	RPS23
CDC5L	CWC22
RPL37	RPS23
DIS3L	EXOSC3
RPL12	RPS24
RPS29	RPL27
RPS17	RPLP0
RPS29	RPL37A
SKP1	FBXW7
SNRPF	SNRNP70
PSMC1	PSMB3
PSMB4	PSMD6
NDUFS8	NDUFAB1
PSEN2	APH1A
MRPL17	MRPS15
RPL11	RPS15
RPS23	RPL5
RPS17	RPS19
PRPF19	SYF2
RPL23A	RPL23
RPS12	RPL29
SNRPD2	SNRNP70
RPS27	RPL36
MOB1A	LATS1
RPL38	RPS4X
RPL13A	RPL29
UPF3B	SMG5
RPL4	RPS27
F3	F7
NOP58	DCAF13
RPS7	RPL22
PSMC1	PSMD2
FZR1	ANAPC7
RPS21	RPL35A
RPL18	RPS28
RPS27	RPL18
RPS21	RPL27
RPS12	RPL8
PSMC1	PSMA6
RPL18A	RPS13
RQCD1	CNOT3
HEATR1	WDR43
PSMC4	PSMB5
NDUFS5	NDUFA13
RPL18A	RPS18
SNRPD1	SNRNP70
RPL6	RPL23
RPL18A	RPS9
RPL34	RPL6
TAF4	TAF11
MED27	MED18
APOB	APOA1
PSMA4	PSMD6
SKIV2L2	EXOSC3
SNRPB	SNRNP70
SIN3A	SUDS3
RPS6	RPL6
RPL10A	RPS29
WAPAL	PDS5B
RPS29	RPL31
RPS26	RPL13A
CDC5L	PRPF8
DCP1A	DDX6
SNRPC	SNRPF
RPL5	RPS18
RPS12	RPL28
GNAI1	GNB1
SLU7	CDC40
RPS4X	RPL23A
RPL12	RPL17
RPS16	RPL23
SNRNP40	SNRNP200
RPLP2	RPL26
PSMC5	PSMA1
TCF4	TCF12
GTF2E1	GTF2B
MCM5	ORC3
EXOC4	EXOC1
RPL29	RPS15
RPL35	RPL11
RPL31	RPL10
RPS29	RPS25
RPS29	RPS8
NCOR1	TBL1XR1
RPL29	RPL26
VPS26B	VPS35
PSMB6	PSMC2
RPS26	RPL5
RPSA	RPL23
RPL23	RPS25
EXOSC1	DIS3
RPS15A	RPL10
VAMP3	SNAP23
RPS3A	RPL12
RPS17	RPL22
VAMP4	VTI1A
NHP2L1	LSM5
POLR2J	INTS5
SF3A2	DDX42
RBX1	CUL5
ORC3	MCM7
PSMC1	PSMA7
RPL11	RPS25
TAF7	TAF2
WDR46	WDR43
PSMD8	ADRM1
PRPF31	LSM5
RIPK1	TRADD
RPS17	RPL17
NDC80	ZWINT
PSMC4	PSMB1
PSMC4	PSMA5
RPS7	RPL9
NDUFA9	NDUFS1
ERCC3	GTF2H3
RPS16	RPS29
RPL37A	RPL23
MRPL44	MRPL13
RPL37	RPS20
RPL4	RPS21
RPS12	RPL35A
RPL15	RPS4X
EXOC8	EXOC5
RPS27	RPS4X
RPL22	RPS27
NSMCE2	NSMCE1
NDUFS3	NDUFA7
JUNB	FOS
RPL19	RPS27
ORC5	MCM3
RPL6	RPS28
COPS4	GPS1
BRAF	MAP2K1
ANAPC2	UBE2D2
RPL8	RPL37
RPL37	RPLP1
RPS15A	RPS6
PSMD7	PSMC1
TRAPPC4	TRAPPC5
SNRPA1	SF3B3
RPL31	RPS19
RPP30	POP4
RPS15A	RPL13A
ANAPC5	CDC16
MRPS35	MRPS23
SNRNP200	SNRPB
ATM	CHEK1
NDC80	MAD2L1
RPL15	RPLP2
RPL39	RPL9
ELP3	IKBKAP
FANCD2	FANCI
RPL5	RPS20
TAF10	TAF11
RPS21	RPL30
RPL18A	RPL11
NCKAP1	CYFIP1
RPLP2	RPL7
RPS21	RPL11
TAF2	TBP
RBX1	CAND1
HNRNPA2B1	HNRNPC
POLR2D	INTS3
RPL21	RPLP0
RPL5	RPS24
CNOT1	CNOT7
RPL7	RPS26
RPL11	RPL36
NEDD8	SENP8
ATP5B	ATP5F1
RPL3	RPLP1
MCM4	ORC4
EXOSC3	C1D
MRPL1	MRPL19
MRPL16	MRPL40
CUL2	TCEB1
RPS15A	RPL5
TAF8	TAF6
RPL37	RPS21
DFFB	DFFA
CCDC53	FAM21C
RPL13	RPL35A
RPS21	RPL39
NDUFB9	NDUFAB1
MCM10	MCM3
KAT2A	TADA3
RPL12	RPL11
RICTOR	MLST8
RPL23	RPL30
RPL39	RPL37A
UQCRFS1	CYCS
RPL13	RPL28
RPS7	RPL3
UBE2S	CDC20
TIMM13	TIMM8B
MSH6	PMS2
ANAPC2	ANAPC7
RPS2	RPL13A
PSMC1	PSMB6
RPL10	RPL37A
SNRPE	SNRNP70
TAF8	TAF2
RPL11	RPS24
RPL18A	RPLP0
RPS12	RPS14
RPL3	RPL21
PSMA3	PSMC3
MCM7	ORC4
BBS5	BBS1
RPS6	RPS13
MSMO1	NSDHL
BBS9	BBS1
MRPL4	MRPL44
USP12	WDR48
APH1B	NCSTN
PHF5A	SF3B3
GTF2B	GTF2A1
RPL34	RPS8
MRPL27	MRPL46
HNRNPA1	HNRNPC
RPS9	RPL27A
RPL19	RPL23
NSL1	DSN1
RPL38	RPS15
SNRPG	SNRNP70
PSMC1	PSMD11
EIF3H	EIF3M
RPL18A	RPL3
EIF3G	EIF3H
RPL8	RPL13
NCKAP1	WASF2
RPS3A	RPS27
SF3B3	EFTUD2
RPS4X	RPL11
EED	EZH2
ATP5G3	ATP5F1
MED18	MED13
MAD2L1	CDC27
VPS41	VPS16
FANCE	FANCM
GTF2H4	ERCC2
PRPF6	SNRNP200
ANAPC5	FZR1
CCNH	GTF2H1
PSMB2	PSMD6
RPL9	RPS19
AIMP2	EPRS
RPS24	RPLP0
RPL15	RPLP0
RPS3A	RPL23
SNRPC	SNRPG
RPS16	RPL15
RPL11	RPL30
EIF3D	EIF3E
BYSL	WDR46
RPS9	RPL28
RPS16	RPL13
ETFB	ETFDH
RPL11	RPL6
PRKDC	XRCC5
NOB1	RIOK1
RPSA	RPL32
RPL31	RPS24
SDHB	SDHD
PSMC1	PSMB2
RPL8	RPS21
FANCE	STRA13
RPL8	RPS15A
RPL13A	RPL23A
TARBP2	DICER1
RPL14	RPS24
RPL32	RPS5
RPLP2	RPS17
NDUFA12	NDUFS1
RMI1	FANCA
GLRX5	BOLA3
WDR59	MIOS
ATP6V1H	ATP6V1F
RPL27A	RPS25
